#   DATE TIME   EVLA    EVLO   STLA    STLO  EVDP   DIST    AZI    BAZ   FAST DFAST  TLAG DTLAG   SPOL DSPOL    WBEG    WEND STAT STRIKE   DIP REGION
 2000125 2036 -17.85 -178.49 -66.66  140.00 480.3  55.70 198.64  49.83   0.00 12.00  0.82  0.11 134.06  3.11  948.40  968.73  DRV 174.01 24.95 Tonga
 2001309 2307 -17.29 -179.25 -66.66  140.00 564.1  55.99 198.28  48.79 -33.00  4.25  1.40  0.12  88.20  1.49  943.71  964.78  DRV 142.58 39.75 Tonga
 2002221 1331 -15.65 -175.94 -66.66  140.00 353.0  58.55 198.95  51.74  24.00 13.75  0.80  0.14 152.07  4.03 1001.58 1025.58  DRV 172.45 41.04 Tonga
 2002231 1101 -21.74 -179.08  32.68 -116.67 630.9  80.49  49.27 236.67 -26.00  3.25  2.40  0.23 358.87  0.93 1217.34 1242.41  BAR 210.08 53.24 Tonga
 2004322 2109 -20.07 -178.71  34.88 -117.99 622.6  79.41  46.84 236.52  20.00 17.75  0.57  0.27 140.61  0.55 1211.20 1234.56 EDW2 195.84 47.65 Tonga
 2006033 1248 -17.75 -178.39  33.65 -117.01 597.5  77.66  48.55 238.91 -25.00  6.75  1.18  0.09  25.56  0.77 1193.99 1214.60  DGR 163.07 24.92 Tonga
 2006055 1415 -18.00 -179.59 -66.66  140.00 622.4  55.22 198.32  48.68 -28.00 10.00  1.35  0.21  94.23  1.98  925.35  939.82  DRV 172.91 17.73 Tonga
 2006153 0731 -20.36 -178.27  33.65 -117.01 590.0  79.31  48.10 236.85 -25.00  7.75  1.08  0.11  24.84  1.44 1216.32 1240.10  DGR 199.12 56.63 Tonga
 2007008 2052 -18.43 -177.86 -66.66  140.00 406.0  55.34 198.96  50.74 -30.00  9.50  1.20  0.13 110.25  0.97  964.74  976.28  DRV 205.19 40.83 Tonga
 2007323 0052 -20.59 -178.26  34.88 -117.99 548.0  79.46  46.56 235.84  25.00 12.50  0.80  0.21  49.94  1.92 1235.68 1250.45 EDW2 202.16 57.69 Tonga
 2008201 2239 -17.34 -177.31  38.03 -120.39 391.0  76.71  42.83 235.32 -36.00  7.50  1.18  0.10  99.38  0.89 1215.26 1239.17  CMB 152.92 37.83 Tonga
 2008201 2239 -17.34 -177.31  33.65 -117.01 391.0  76.62  48.14 238.52 -18.00  4.75  1.45  0.10 108.07  0.48 1222.42 1239.84  DGR 152.92 37.83 Tonga
 2008334 0559 -18.70 -177.72 -66.66  140.00 386.0  55.13 199.06  51.00  21.00  7.75  0.73  0.12 136.43  1.00  956.19  975.40  DRV 195.53 43.60 Tonga
 2008352 1055 -17.74 -178.37 -66.66  140.00 530.3  55.84 198.65  49.92   0.00  3.00  0.95  0.04 128.97  0.79  949.17  965.91  DRV 162.53 25.08 Tonga
#
# Column names
# ============
# DATE:    Four-digit year and three digit day-of-year
# TIME:    Two-digit hour and two-digit minute, UTC
# EVLA, EVLO:  Event latitude and longitude (degrees, +ve N and E)
# STLA, STLO:  Station latitude and longitude (degrees, +ve N and E)
# EVDP:    Event depth (km)
# DIST:    Great circle distance (degrees)
# AZI:     Forward azimuth from event to station (degrees CW from N)
# BAZ:     Backazimuth from station to source (degrees CW from N)
# FAST:    Orientation of fast shear wave (degrees CW from N at station)
# DFAST:   1-sigma error in FAST (degrees)
# TLAG:    Delay time between fast and slow shear waves (s)
# DTLAG:   1-sigma error in TLAG (s)
# SPOL:    Source polarisation recovered from splitting parameters at receiver (degrees CW from N)
# DSPOL:   1-sigma error in SPOL (degrees)
# WBEG:    Start time of splitting analysis window, relative to event origin time (s)
# WEND:    End time of splitting analysis window, relative to event origin time (s)
# STAT:    Station name
# STRIKE:  Strike of slab at event (degrees CW from N)
# DIP:     Dip of slab at event (degrees)
# REGION:  Region assigned to event
#
# Data from:
#     Andy Nowacki, J-Michael Kendall, James Wookey and Asher Pemberton
#     Mid-mantle anisotropy in subduction zones and deep water transport
#     Geochemistry, Geophysics, Geosystems
#     Vol. 16, pp. 764-784.  
#     doi:10.1002/2014GC005667
